一级分类,品名,平均价,单位,产地,发布日期,规格
蔬菜,奶白菜,3.5,斤,,2025-04-07 00:00:00,
蔬菜,散生菜,2.5,斤,,2025-04-07 00:00:00,
蔬菜,香葱,3.4,斤,,2025-04-07 00:00:00,
蔬菜,茼蒿,4.25,斤,,2025-04-07 00:00:00,
蔬菜,蒿子秆,3.0,斤,,2025-04-07 00:00:00,
蔬菜,水萝卜,2.4,斤,,2025-04-07 00:00:00,
蔬菜,樱桃萝卜,2.4,斤,,2025-04-07 00:00:00,
蔬菜,香芹,1.75,斤,,2025-04-07 00:00:00,
蔬菜,菠菜,3.0,斤,,2025-04-07 00:00:00,
蔬菜,苋菜,2.75,斤,,2025-04-07 00:00:00,
蔬菜,菊花菜,3.0,斤,,2025-04-07 00:00:00,
蔬菜,黄心菜,4.25,斤,,2025-04-07 00:00:00,
蔬菜,青蒜,1.75,斤,,2025-04-07 00:00:00,
蔬菜,盖菜,1.25,斤,,2025-04-07 00:00:00,
蔬菜,芥兰,2.25,斤,,2025-04-07 00:00:00,
蔬菜,菜心,2.1,斤,,2025-04-07 00:00:00,
蔬菜,空心菜,5.25,斤,,2025-04-07 00:00:00,
蔬菜,鸡毛菜,2.75,斤,,2025-04-07 00:00:00,
蔬菜,荸荠,5.25,斤,皖,2025-04-07 00:00:00,去皮
蔬菜,芋头,2.75,斤,鲁,2025-04-07 00:00:00,小
蔬菜,芋头,6.75,斤,粤,2025-04-07 00:00:00,大
蔬菜,姜,4.25,斤,鲁,2025-04-07 00:00:00,姜头
蔬菜,姜,5.5,斤,鲁,2025-04-07 00:00:00,整姜
蔬菜,大蒜,6.0,斤,豫苏鲁,2025-04-07 00:00:00,老
蔬菜,大蒜,3.2,斤,云,2025-04-07 00:00:00,新
蔬菜,蒜米,5.05,斤,鲁,2025-04-07 00:00:00,机剥\手工
蔬菜,大葱,1.3,斤,苏闽,2025-04-07 00:00:00,净
蔬菜,小葱,3.25,斤,冀辽,2025-04-07 00:00:00,
蔬菜,蒜苗,4.5,斤,鲁川苏,2025-04-07 00:00:00,蒜薹
蔬菜,蒜黄,6.75,斤,冀,2025-04-07 00:00:00,
蔬菜,青蒜,1.65,斤,鲁苏,2025-04-07 00:00:00,
蔬菜,平菇,2.5,斤,京冀,2025-04-07 00:00:00,
蔬菜,香菇,4.75,斤,冀,2025-04-07 00:00:00,
蔬菜,白玉菇,4.0,斤,豫,2025-04-07 00:00:00,
蔬菜,口蘑,7.6,斤,豫,2025-04-07 00:00:00,
蔬菜,杏鲍菇,2.5,斤,豫,2025-04-07 00:00:00,
蔬菜,金针菇,1.8,斤,皖鲁,2025-04-07 00:00:00,
蔬菜,油菜,1.0,斤,,2025-04-07 00:00:00,
水果,甘蔗,2.5,斤,,2025-04-07 00:00:00,
水果,桑葚,7.5,斤,,2025-04-07 00:00:00,
水果,柠檬,3.75,斤,,2025-04-07 00:00:00,
水果,山楂,3.5,斤,,2025-04-07 00:00:00,
水果,姑娘果（灯笼果）,14.0,斤,,2025-04-07 00:00:00,
水果,鸭梨,2.05,斤,,2025-04-07 00:00:00,
水果,雪花梨,1.85,斤,,2025-04-07 00:00:00,
水果,皇冠梨,3.45,斤,,2025-04-07 00:00:00,纸箱
水果,南果梨,3.75,斤,,2025-04-07 00:00:00,
水果,丰水梨,3.6,斤,,2025-04-07 00:00:00,
水果,酥梨,2.4,斤,,2025-04-07 00:00:00,
水果,库尔勒香梨,3.65,斤,,2025-04-07 00:00:00,
水果,红香酥梨,2.35,斤,,2025-04-07 00:00:00,
水果,玉露香梨,3.75,斤,,2025-04-07 00:00:00,
水果,秋月梨,3.75,斤,,2025-04-07 00:00:00,
水果,丑橘,3.65,斤,,2025-04-07 00:00:00,
水果,沃柑(贵妃柑),3.25,斤,,2025-04-07 00:00:00,
水果,伦晚脐橙,3.65,斤,,2025-04-07 00:00:00,
水果,耙耙柑,5.25,斤,,2025-04-07 00:00:00,
水果,芦柑,2.15,斤,,2025-04-07 00:00:00,
蔬菜,荠菜,5.0,斤,,2025-04-07 00:00:00,
蔬菜,荆芥,3.5,斤,,2025-04-07 00:00:00,
蔬菜,豌豆苗,5.5,斤,,2025-04-07 00:00:00,
蔬菜,快菜,0.7,斤,,2025-04-07 00:00:00,
蔬菜,苦菊,3.5,斤,,2025-04-07 00:00:00,
蔬菜,穿心莲,2.75,斤,,2025-04-07 00:00:00,
蔬菜,木耳菜,3.25,斤,,2025-04-07 00:00:00,
