一级分类,品名,平均价,单位,产地,发布日期,规格
肉禽蛋,小里脊,12.75,斤,,2025-04-05 00:00:00,
肉禽蛋,梅花肉,10.75,斤,,2025-04-05 00:00:00,
肉禽蛋,纯瘦肉,10.5,斤,,2025-04-05 00:00:00,
肉禽蛋,护心肉,17.5,斤,,2025-04-05 00:00:00,鲜
肉禽蛋,前肘,9.0,斤,,2025-04-05 00:00:00,
肉禽蛋,后肘,7.65,斤,,2025-04-05 00:00:00,
肉禽蛋,月牙骨,19.5,斤,,2025-04-05 00:00:00,
肉禽蛋,猪尾巴,45.0,斤,,2025-04-05 00:00:00,
肉禽蛋,猪蹄,17.5,斤,,2025-04-05 00:00:00,
肉禽蛋,纯排骨,18.5,斤,,2025-04-05 00:00:00,
肉禽蛋,纯腔骨,6.0,斤,,2025-04-05 00:00:00,
肉禽蛋,腔排骨,12.0,斤,,2025-04-05 00:00:00,
肉禽蛋,梅花骨,8.5,斤,,2025-04-05 00:00:00,
肉禽蛋,棒骨,7.75,斤,,2025-04-05 00:00:00,
肉禽蛋,猪头,8.5,斤,,2025-04-05 00:00:00,
肉禽蛋,牛柳,32.0,斤,,2025-04-05 00:00:00,里脊
肉禽蛋,精牛柳,33.0,斤,,2025-04-05 00:00:00,
肉禽蛋,牛腩,28.5,斤,,2025-04-05 00:00:00,
肉禽蛋,牛林,28.0,斤,,2025-04-05 00:00:00,
肉禽蛋,牛金钱腱,45.0,斤,,2025-04-05 00:00:00,
肉禽蛋,牛筋头巴脑,24.5,斤,,2025-04-05 00:00:00,
肉禽蛋,牛宝,18.0,斤,,2025-04-05 00:00:00,
肉禽蛋,牛鞭,50.5,斤,,2025-04-05 00:00:00,
肉禽蛋,牛油,5.0,斤,,2025-04-05 00:00:00,
肉禽蛋,牛心,6.5,斤,,2025-04-05 00:00:00,
肉禽蛋,牛舌,24.0,斤,,2025-04-05 00:00:00,
肉禽蛋,牛骨,4.25,斤,,2025-04-05 00:00:00,
肉禽蛋,牛排骨,27.0,斤,,2025-04-05 00:00:00,
肉禽蛋,牛蹄筋,25.5,斤,,2025-04-05 00:00:00,
肉禽蛋,牛板筋,27.5,斤,,2025-04-05 00:00:00,
肉禽蛋,牛心管,31.5,斤,,2025-04-05 00:00:00,
肉禽蛋,牛肚,17.0,斤,,2025-04-05 00:00:00,
肉禽蛋,牛腰子,9.0,斤,,2025-04-05 00:00:00,
肉禽蛋,牛尾,25.5,斤,,2025-04-05 00:00:00,
肉禽蛋,牛百叶,29.0,斤,,2025-04-05 00:00:00,
肉禽蛋,牛上脑,28.5,斤,,2025-04-05 00:00:00,
肉禽蛋,整羊,21.0,斤,,2025-04-05 00:00:00,
肉禽蛋,去骨羊前腿,28.5,斤,,2025-04-05 00:00:00,
肉禽蛋,去骨羊后腿,31.0,斤,,2025-04-05 00:00:00,
肉禽蛋,羊腰窝,28.5,斤,,2025-04-05 00:00:00,
肉禽蛋,羊肉片,30.0,斤,,2025-04-05 00:00:00,
肉禽蛋,羊腰子,10.5,个,,2025-04-05 00:00:00,挂油
肉禽蛋,羊蝎子,12.5,斤,,2025-04-05 00:00:00,普通
肉禽蛋,羊蝎子,21.0,斤,,2025-04-05 00:00:00,精品
肉禽蛋,羊排骨,21.5,斤,,2025-04-05 00:00:00,
肉禽蛋,羊尾巴油,7.5,斤,,2025-04-05 00:00:00,
肉禽蛋,羊小腿,18.0,斤,,2025-04-05 00:00:00,羊棒
肉禽蛋,羊腱子肉,31.5,斤,,2025-04-05 00:00:00,
肉禽蛋,羊蹄,14.5,斤,,2025-04-05 00:00:00,水褪
肉禽蛋,羊头,12.0,斤,,2025-04-05 00:00:00,
肉禽蛋,羊肝,7.0,斤,,2025-04-05 00:00:00,
肉禽蛋,羊心,17.5,斤,,2025-04-05 00:00:00,
肉禽蛋,羊肠,14.5,斤,,2025-04-05 00:00:00,
肉禽蛋,羊肚,17.0,斤,,2025-04-05 00:00:00,
肉禽蛋,羊鞭,84.0,斤,,2025-04-05 00:00:00,
肉禽蛋,羊宝,35.0,斤,,2025-04-05 00:00:00,
肉禽蛋,羊骨头,8.5,斤,,2025-04-05 00:00:00,
肉禽蛋,羊上脑,31.5,斤,,2025-04-05 00:00:00,
肉禽蛋,羊腩,21.0,斤,,2025-04-05 00:00:00,
肉禽蛋,羊里脊,29.0,斤,,2025-04-05 00:00:00,
肉禽蛋,淘汰鸡,10.75,斤,,2025-04-05 00:00:00,干净膛
肉禽蛋,淘汰鸡,9.75,斤,,2025-04-05 00:00:00,净膛
肉禽蛋,仔鸡,6.75,斤,,2025-04-05 00:00:00,净膛
肉禽蛋,肉鸡,6.5,斤,,2025-04-05 00:00:00,
肉禽蛋,鸡胸,6.5,斤,,2025-04-05 00:00:00,
肉禽蛋,鸡翅,11.0,斤,,2025-04-05 00:00:00,
肉禽蛋,鸡翅尖,7.5,斤,,2025-04-05 00:00:00,
肉禽蛋,鸡翅中,21.0,斤,,2025-04-05 00:00:00,
肉禽蛋,鸡翅根,7.0,斤,,2025-04-05 00:00:00,
肉禽蛋,鸡边腿,6.4,斤,,2025-04-05 00:00:00,
肉禽蛋,鸡排腿,7.0,斤,,2025-04-05 00:00:00,
肉禽蛋,鸡琵琶腿,7.0,斤,,2025-04-05 00:00:00,
肉禽蛋,鸡胗,12.5,斤,,2025-04-05 00:00:00,
肉禽蛋,鸡爪,20.0,斤,,2025-04-05 00:00:00,
肉禽蛋,鸡心,5.0,斤,,2025-04-05 00:00:00,
肉禽蛋,鸡肝,3.0,斤,,2025-04-05 00:00:00,
肉禽蛋,鸡脖子,5.0,斤,,2025-04-05 00:00:00,去皮
肉禽蛋,鸡头,2.5,斤,,2025-04-05 00:00:00,
肉禽蛋,鸡油,5.25,斤,,2025-04-05 00:00:00,
肉禽蛋,鸡架子,3.0,斤,,2025-04-05 00:00:00,
肉禽蛋,白条乌鸡,11.0,斤,,2025-04-05 00:00:00,净膛
肉禽蛋,黑爪公鸡,10.5,斤,,2025-04-05 00:00:00,净膛
肉禽蛋,白条鹅,11.5,斤,,2025-04-05 00:00:00,净膛
肉禽蛋,白条湖鸭,7.25,斤,,2025-04-05 00:00:00,
肉禽蛋,鸭肠,7.0,斤,,2025-04-05 00:00:00,
肉禽蛋,鸭肝,2.25,斤,,2025-04-05 00:00:00,
肉禽蛋,鸭头,10.5,斤,,2025-04-05 00:00:00,
肉禽蛋,鸭心,4.75,斤,,2025-04-05 00:00:00,
肉禽蛋,鸭腿,5.75,斤,,2025-04-05 00:00:00,
肉禽蛋,鸭胗,12.5,斤,,2025-04-05 00:00:00,
肉禽蛋,鸭脖子,7.0,斤,,2025-04-05 00:00:00,去皮
肉禽蛋,白条乳鸽,20.0,只,,2025-04-05 00:00:00,
肉禽蛋,白条兔,13.0,斤,,2025-04-05 00:00:00,冻
肉禽蛋,筐鸡蛋,142.0,筐,,2025-04-05 00:00:00,净44斤
肉禽蛋,筐鸡蛋,3.23,斤,,2025-04-05 00:00:00,
蔬菜,菠菜,1.35,斤,鲁冀,2025-04-04 00:00:00,杆/大叶
蔬菜,莴笋,1.45,斤,鲁闽津,2025-04-04 00:00:00,
蔬菜,团生菜,3.5,斤,冀,2025-04-04 00:00:00,
蔬菜,罗马生菜,2.4,斤,云,2025-04-04 00:00:00,
蔬菜,散叶生菜,2.15,斤,辽京,2025-04-04 00:00:00,
蔬菜,油菜,1.2,斤,皖京鲁,2025-04-04 00:00:00,
蔬菜,香菜,2.0,斤,冀,2025-04-04 00:00:00,
蔬菜,茴香,2.25,斤,冀,2025-04-04 00:00:00,
蔬菜,韭菜,2.25,斤,冀,2025-04-04 00:00:00,
蔬菜,苦菊,2.9,斤,辽冀,2025-04-04 00:00:00,
蔬菜,油麦菜,1.25,斤,京冀,2025-04-04 00:00:00,
蔬菜,散菜花,2.15,斤,云苏豫,2025-04-04 00:00:00,
蔬菜,绿菜花,2.05,斤,浙,2025-04-04 00:00:00,
蔬菜,绿豆芽,0.98,斤,,2025-04-04 00:00:00,
蔬菜,黄豆芽,0.88,斤,,2025-04-04 00:00:00,
蔬菜,番茄,1.7,斤,冀蒙甘,2025-04-04 00:00:00,黑框
蔬菜,番茄,2.6,斤,冀蒙甘,2025-04-04 00:00:00,纸箱\泡沫箱
蔬菜,番茄,2.9,斤,蒙,2025-04-04 00:00:00,白框
蔬菜,黄瓜,1.6,斤,辽冀鲁,2025-04-04 00:00:00,袋\箱
蔬菜,黄瓜,1.9,斤,冀辽,2025-04-04 00:00:00,干花\鲜花
肉禽蛋,散鸡蛋,3.7,斤,,2025-04-05 00:00:00,
肉禽蛋,生鸭蛋,6.65,斤,,2025-04-05 00:00:00,
肉禽蛋,熟鸭蛋,8.25,斤,,2025-04-05 00:00:00,
肉禽蛋,松花蛋,8.0,斤,,2025-04-05 00:00:00,
肉禽蛋,鹅蛋,15.25,斤,,2025-04-05 00:00:00,
肉禽蛋,鹌鹑蛋,5.85,斤,,2025-04-05 00:00:00,
肉禽蛋,柴鸡蛋,6.25,斤,,2025-04-05 00:00:00,
肉禽蛋,乌鸡蛋,8.0,斤,,2025-04-05 00:00:00,
肉禽蛋,变蛋,0.78,个,,2025-04-05 00:00:00,
肉禽蛋,鸵鸟蛋,85.0,个,,2025-04-05 00:00:00,
肉禽蛋,鸽子蛋,2.75,个,,2025-04-05 00:00:00,
肉禽蛋,活珠子,1.4,个,,2025-04-05 00:00:00,
肉禽蛋,山鸡蛋,1.1,个,,2025-04-05 00:00:00,
蔬菜,大白菜,0.48,斤,冀鲁鄂,2025-04-04 00:00:00,
蔬菜,娃娃菜,1.1,斤,云,2025-04-04 00:00:00,
蔬菜,小白菜,0.9,斤,冀,2025-04-04 00:00:00,
蔬菜,圆白菜,0.75,斤,冀鄂鲁苏,2025-04-04 00:00:00,甘蓝
蔬菜,紫甘蓝,1.75,斤,云,2025-04-04 00:00:00,
蔬菜,芹菜,0.8,斤,津鲁冀,2025-04-04 00:00:00,
蔬菜,西芹,1.65,斤,辽,2025-04-04 00:00:00,
蔬菜,小黄瓜,3.5,斤,辽鲁,2025-04-04 00:00:00,旱
蔬菜,小黄瓜,4.1,斤,辽鲁,2025-04-04 00:00:00,荷兰
蔬菜,茄子,1.65,斤,冀云,2025-04-04 00:00:00,圆茄
蔬菜,长茄,1.55,斤,辽冀,2025-04-04 00:00:00,
蔬菜,线茄,2.5,斤,冀闽,2025-04-04 00:00:00,
蔬菜,广茄,2.1,斤,闽云,2025-04-04 00:00:00,
蔬菜,冬瓜,1.45,斤,琼,2025-04-04 00:00:00,吊
蔬菜,冬瓜,1.15,斤,新琼,2025-04-04 00:00:00,地
蔬菜,毛冬瓜,2.1,斤,琼冀,2025-04-04 00:00:00,长\小
蔬菜,架豆,3.9,斤,云鲁,2025-04-04 00:00:00,
蔬菜,豆王,5.1,斤,云鲁辽,2025-04-04 00:00:00,
蔬菜,扁豆,5.45,斤,鲁辽,2025-04-04 00:00:00,
蔬菜,豇豆,4.0,斤,琼鲁,2025-04-04 00:00:00,
蔬菜,白豆,4.85,斤,鲁,2025-04-04 00:00:00,
蔬菜,油豆,7.05,斤,鲁辽,2025-04-04 00:00:00,
蔬菜,毛豆,3.8,斤,琼,2025-04-04 00:00:00,
蔬菜,花生,4.75,斤,苏,2025-04-04 00:00:00,泥\洗
蔬菜,玉米,2.75,斤,粤琼,2025-04-04 00:00:00,黄
蔬菜,玉米,2.5,斤,粤琼,2025-04-04 00:00:00,白\花
蔬菜,苦瓜,2.75,斤,鲁,2025-04-04 00:00:00,
蔬菜,蒜米,5.05,斤,鲁,2025-04-04 00:00:00,机剥\手工
蔬菜,大葱,1.3,斤,苏闽,2025-04-04 00:00:00,净
蔬菜,小葱,3.25,斤,冀辽,2025-04-04 00:00:00,
蔬菜,蒜苗,4.5,斤,鲁川苏,2025-04-04 00:00:00,蒜薹
蔬菜,蒜黄,6.4,斤,冀,2025-04-04 00:00:00,
蔬菜,青蒜,1.5,斤,鲁苏,2025-04-04 00:00:00,
蔬菜,平菇,2.5,斤,京冀,2025-04-04 00:00:00,
蔬菜,香菇,4.75,斤,冀,2025-04-04 00:00:00,
蔬菜,白玉菇,4.0,斤,豫,2025-04-04 00:00:00,
蔬菜,口蘑,7.6,斤,豫,2025-04-04 00:00:00,
蔬菜,杏鲍菇,2.5,斤,豫,2025-04-04 00:00:00,
蔬菜,金针菇,1.8,斤,皖鲁,2025-04-04 00:00:00,
蔬菜,油菜,1.0,斤,,2025-04-04 00:00:00,
蔬菜,小白菜,2.15,斤,,2025-04-04 00:00:00,
蔬菜,油麦菜,1.75,斤,,2025-04-04 00:00:00,
蔬菜,奶白菜,3.25,斤,,2025-04-04 00:00:00,
蔬菜,散生菜,2.5,斤,,2025-04-04 00:00:00,
蔬菜,香葱,3.5,斤,,2025-04-04 00:00:00,
蔬菜,茼蒿,4.75,斤,,2025-04-04 00:00:00,
蔬菜,蒿子秆,3.25,斤,,2025-04-04 00:00:00,
蔬菜,丝瓜,2.75,斤,豫冀鲁,2025-04-04 00:00:00,
蔬菜,西葫芦,1.0,斤,鲁,2025-04-04 00:00:00,袋\箱
蔬菜,贝贝南瓜,4.25,斤,琼,2025-04-04 00:00:00,
蔬菜,金丝南瓜,1.5,斤,琼桂,2025-04-04 00:00:00,
蔬菜,板栗南瓜,2.9,斤,桂琼,2025-04-04 00:00:00,
蔬菜,南北瓜,2.25,斤,冀琼,2025-04-04 00:00:00,
蔬菜,尖椒,2.45,斤,辽鲁,2025-04-04 00:00:00,袋\箱
蔬菜,红尖椒,4.0,斤,鲁,2025-04-04 00:00:00,
蔬菜,美人椒,5.5,斤,鲁云,2025-04-04 00:00:00,
蔬菜,螺丝椒,4.65,斤,鲁辽冀,2025-04-04 00:00:00,
蔬菜,柿子椒,2.3,斤,鲁,2025-04-04 00:00:00,袋\箱
蔬菜,线椒,5.25,斤,鲁粤,2025-04-04 00:00:00,绿
蔬菜,杭椒,3.75,斤,鲁粤,2025-04-04 00:00:00,
蔬菜,小米椒,14.5,斤,云,2025-04-04 00:00:00,
蔬菜,彩椒,6.25,斤,鲁,2025-04-04 00:00:00,红\黄
蔬菜,白萝卜,0.53,斤,鄂川,2025-04-04 00:00:00,
蔬菜,心里美,1.7,斤,冀,2025-04-04 00:00:00,
蔬菜,卞萝卜,0.93,斤,冀,2025-04-04 00:00:00,
蔬菜,青萝卜,1.15,斤,津豫鲁,2025-04-04 00:00:00,
蔬菜,胡萝卜,1.58,斤,鲁闽,2025-04-04 00:00:00,泥
蔬菜,水萝卜,2.15,斤,,2025-04-04 00:00:00,
蔬菜,樱桃萝卜,2.25,斤,,2025-04-04 00:00:00,
蔬菜,香芹,1.65,斤,,2025-04-04 00:00:00,
蔬菜,菠菜,3.0,斤,,2025-04-04 00:00:00,
蔬菜,苋菜,3.0,斤,,2025-04-04 00:00:00,
蔬菜,菊花菜,2.75,斤,,2025-04-04 00:00:00,
蔬菜,黄心菜,4.75,斤,,2025-04-04 00:00:00,
蔬菜,青蒜,2.25,斤,,2025-04-04 00:00:00,
蔬菜,盖菜,1.15,斤,,2025-04-04 00:00:00,
蔬菜,芥兰,2.5,斤,,2025-04-04 00:00:00,
蔬菜,菜心,2.75,斤,,2025-04-04 00:00:00,
蔬菜,空心菜,5.0,斤,,2025-04-04 00:00:00,
蔬菜,鸡毛菜,2.5,斤,,2025-04-04 00:00:00,
蔬菜,荠菜,6.25,斤,,2025-04-04 00:00:00,
蔬菜,荆芥,3.5,斤,,2025-04-04 00:00:00,
蔬菜,豌豆苗,5.25,斤,,2025-04-04 00:00:00,
蔬菜,快菜,0.7,斤,,2025-04-04 00:00:00,
蔬菜,苦菊,3.75,斤,,2025-04-04 00:00:00,
蔬菜,穿心莲,2.5,斤,,2025-04-04 00:00:00,
蔬菜,木耳菜,2.75,斤,,2025-04-04 00:00:00,
蔬菜,胡萝卜,1.38,斤,闽,2025-04-04 00:00:00,洗
蔬菜,土豆,1.03,斤,陕蒙,2025-04-04 00:00:00,存
蔬菜,土豆,1.65,斤,桂云,2025-04-04 00:00:00,新
蔬菜,葱头,0.7,斤,甘云,2025-04-04 00:00:00,黄
蔬菜,葱头,1.03,斤,云甘,2025-04-04 00:00:00,红
蔬菜,山药,3.25,斤,豫鲁,2025-04-04 00:00:00,脆
蔬菜,山药,3.5,斤,冀,2025-04-04 00:00:00,麻
蔬菜,山药,5.5,斤,豫冀,2025-04-04 00:00:00,铁棍
蔬菜,莲藕,3.5,斤,津苏,2025-04-04 00:00:00,泥\洗
蔬菜,红薯,1.8,斤,冀,2025-04-04 00:00:00,龙薯九
蔬菜,红薯,2.6,斤,冀,2025-04-04 00:00:00,西瓜红\烟薯
蔬菜,紫薯,2.4,斤,冀粤,2025-04-04 00:00:00,
蔬菜,荸荠,3.25,斤,皖,2025-04-04 00:00:00,带皮
蔬菜,荸荠,5.25,斤,皖,2025-04-04 00:00:00,去皮
蔬菜,芋头,2.75,斤,鲁,2025-04-04 00:00:00,小
蔬菜,芋头,6.75,斤,粤,2025-04-04 00:00:00,大
蔬菜,姜,4.5,斤,鲁,2025-04-04 00:00:00,姜头
蔬菜,姜,5.5,斤,鲁,2025-04-04 00:00:00,整姜
蔬菜,大蒜,6.0,斤,豫苏鲁,2025-04-04 00:00:00,老
蔬菜,大蒜,3.2,斤,云,2025-04-04 00:00:00,新
水果,椰青,6.5,个,,2025-04-04 00:00:00,
水果,箱装菠萝,2.45,斤,,2025-04-04 00:00:00,
水果,国产凤梨,5.75,斤,,2025-04-04 00:00:00,
水果,圣女果,7.0,斤,,2025-04-04 00:00:00,千禧
水果,百香果,8.0,斤,,2025-04-04 00:00:00,
水果,人参果,6.0,斤,,2025-04-04 00:00:00,
水果,九九草莓,11.5,斤,,2025-04-04 00:00:00,
水果,蓝莓,42.5,斤,,2025-04-04 00:00:00,
水果,火龙果,6.5,斤,,2025-04-04 00:00:00,红
水果,火龙果,5.5,斤,,2025-04-04 00:00:00,白
水果,木瓜,5.75,斤,,2025-04-04 00:00:00,
水果,柿饼,8.5,斤,,2025-04-04 00:00:00,
水果,桑葚,8.5,斤,,2025-04-04 00:00:00,
水果,甘蔗,2.5,斤,,2025-04-04 00:00:00,
水果,桑葚,7.5,斤,,2025-04-04 00:00:00,
水果,柠檬,3.75,斤,,2025-04-04 00:00:00,
水果,山楂,3.5,斤,,2025-04-04 00:00:00,
水果,姑娘果（灯笼果）,14.0,斤,,2025-04-04 00:00:00,
水果,鸭梨,2.0,斤,,2025-04-04 00:00:00,
水果,雪花梨,1.85,斤,,2025-04-04 00:00:00,
水果,皇冠梨,3.0,斤,,2025-04-04 00:00:00,纸箱
水果,南果梨,3.75,斤,,2025-04-04 00:00:00,
水果,丰水梨,3.6,斤,,2025-04-04 00:00:00,
水果,酥梨,2.4,斤,,2025-04-04 00:00:00,
水果,库尔勒香梨,3.65,斤,,2025-04-04 00:00:00,
水果,红香酥梨,2.4,斤,,2025-04-04 00:00:00,
水果,红啤梨,4.25,斤,,2025-04-04 00:00:00,
水果,玉露香梨,3.75,斤,,2025-04-04 00:00:00,
水果,秋月梨,3.75,斤,,2025-04-04 00:00:00,
水果,沙糖桔,3.5,斤,,2025-04-04 00:00:00,
水果,丑橘,3.65,斤,,2025-04-04 00:00:00,
水果,沃柑(贵妃柑),3.25,斤,,2025-04-04 00:00:00,
水果,伦晚脐橙,4.0,斤,,2025-04-04 00:00:00,
水果,耙耙柑,5.25,斤,,2025-04-04 00:00:00,
水果,芦柑,2.15,斤,,2025-04-04 00:00:00,
水果,金桔,7.5,斤,,2025-04-04 00:00:00,
水果,油桃,9.5,斤,,2025-04-04 00:00:00,
水果,春雪,12.5,斤,,2025-04-04 00:00:00,
水果,黄油桃,12.0,斤,,2025-04-04 00:00:00,
水果,猕猴桃（徐香）,4.5,斤,,2025-04-04 00:00:00,
水果,猕猴桃（海沃德）,4.0,斤,,2025-04-04 00:00:00,
水果,李子,13.5,斤,,2025-04-04 00:00:00,
水果,无籽小号-大号,3.25,斤,,2025-04-04 00:00:00,
水果,麒麟,4.0,斤,,2025-04-04 00:00:00,甜蜜蜜
水果,黑美人,2.5,斤,,2025-04-04 00:00:00,
水果,特小凤,3.55,斤,,2025-04-04 00:00:00,
水果,L600吊秧瓜,5.25,斤,,2025-04-04 00:00:00,
水果,甜王,2.6,斤,,2025-04-04 00:00:00,
水果,国产香蕉,3.9,斤,,2025-04-04 00:00:00,
水果,进口香蕉,4.3,斤,,2025-04-04 00:00:00,菲律宾、老挝
水果,泰国香蕉,13.0,斤,,2025-04-04 00:00:00,帝王蕉
水果,晓蜜25号,3.9,斤,,2025-04-04 00:00:00,
水果,黄金瓜／金蜜,3.55,斤,,2025-04-04 00:00:00,
水果,玉菇,3.65,斤,,2025-04-04 00:00:00,奶香蜜
水果,网纹,5.5,斤,,2025-04-04 00:00:00,
水果,羊角蜜,5.75,斤,,2025-04-04 00:00:00,六一
水果,花蕾甜瓜,6.65,斤,,2025-04-04 00:00:00,
水果,绿宝甜瓜,6.65,斤,,2025-04-04 00:00:00,
水果,博阳,5.0,斤,,2025-04-04 00:00:00,系列
水果,久红瑞,3.55,斤,,2025-04-04 00:00:00,系列
水果,富士,3.4,斤,,2025-04-04 00:00:00,纸袋Φ70-84
水果,富士,2.6,斤,,2025-04-04 00:00:00,纸+膜袋
水果,富士,4.75,斤,,2025-04-04 00:00:00,纸袋Φ85以上
水果,黄元帅,2.75,斤,,2025-04-04 00:00:00,
水果,花牛,3.9,斤,,2025-04-04 00:00:00,
水果,阿克苏,4.8,斤,新疆,2025-04-04 00:00:00,冰糖心
水果,国光,2.98,斤,,2025-04-04 00:00:00,
水果,辽宁寒富苹果,2.5,斤,,2025-04-04 00:00:00,
水果,阳光玫瑰,11.0,斤,,2025-04-04 00:00:00,
水果,红提葡萄,5.5,斤,,2025-04-04 00:00:00,
水果,克伦生,5.5,斤,,2025-04-04 00:00:00,
水果,台农,6.25,斤,,2025-04-04 00:00:00,小台
水果,台农,7.25,斤,,2025-04-04 00:00:00,大台
水果,玉文,9.5,斤,,2025-04-04 00:00:00,
水果,青皮,5.25,斤,,2025-04-04 00:00:00,
水果,贵妃芒,7.0,斤,,2025-04-04 00:00:00,
水果,高乐蜜,6.25,斤,,2025-04-04 00:00:00,
水果,水仙芒果,6.25,斤,,2025-04-04 00:00:00,
水果,红灯,24.0,斤,,2025-04-04 00:00:00,
水果,美早,50.0,斤,,2025-04-04 00:00:00,
肉禽蛋,牛板筋,27.5,斤,,2025-04-04 00:00:00,
肉禽蛋,牛心管,31.5,斤,,2025-04-04 00:00:00,
肉禽蛋,牛肚,17.0,斤,,2025-04-04 00:00:00,
肉禽蛋,牛腰子,9.0,斤,,2025-04-04 00:00:00,
肉禽蛋,牛尾,25.5,斤,,2025-04-04 00:00:00,
肉禽蛋,牛百叶,29.0,斤,,2025-04-04 00:00:00,
肉禽蛋,牛上脑,28.5,斤,,2025-04-04 00:00:00,
肉禽蛋,整羊,21.0,斤,,2025-04-04 00:00:00,
肉禽蛋,去骨羊前腿,28.5,斤,,2025-04-04 00:00:00,
肉禽蛋,去骨羊后腿,31.0,斤,,2025-04-04 00:00:00,
肉禽蛋,羊腰窝,28.5,斤,,2025-04-04 00:00:00,
肉禽蛋,羊肉片,30.0,斤,,2025-04-04 00:00:00,
肉禽蛋,羊腰子,10.5,个,,2025-04-04 00:00:00,挂油
肉禽蛋,羊蝎子,12.5,斤,,2025-04-04 00:00:00,普通
肉禽蛋,羊蝎子,21.0,斤,,2025-04-04 00:00:00,精品
肉禽蛋,羊排骨,21.5,斤,,2025-04-04 00:00:00,
肉禽蛋,羊尾巴油,7.5,斤,,2025-04-04 00:00:00,
肉禽蛋,羊小腿,18.0,斤,,2025-04-04 00:00:00,羊棒
肉禽蛋,羊腱子肉,31.5,斤,,2025-04-04 00:00:00,
肉禽蛋,羊蹄,14.5,斤,,2025-04-04 00:00:00,水褪
肉禽蛋,白条猪,9.15,斤,,2025-04-04 00:00:00,瘦
肉禽蛋,白条猪,7.75,斤,,2025-04-04 00:00:00,肥
肉禽蛋,前臀尖,8.75,斤,,2025-04-04 00:00:00,瘦
肉禽蛋,前臀尖,8.25,斤,,2025-04-04 00:00:00,肥
肉禽蛋,后臀尖,9.0,斤,,2025-04-04 00:00:00,瘦
肉禽蛋,后臀尖,8.5,斤,,2025-04-04 00:00:00,肥
肉禽蛋,五花肉,11.5,斤,,2025-04-04 00:00:00,瘦
肉禽蛋,五花肉,10.25,斤,,2025-04-04 00:00:00,肥
肉禽蛋,精五花,14.5,斤,,2025-04-04 00:00:00,
肉禽蛋,纯通脊,11.5,斤,,2025-04-04 00:00:00,
肉禽蛋,通脊,9.25,斤,,2025-04-04 00:00:00,带皮
肉禽蛋,小里脊,12.75,斤,,2025-04-04 00:00:00,
肉禽蛋,梅花肉,10.75,斤,,2025-04-04 00:00:00,
肉禽蛋,纯瘦肉,10.5,斤,,2025-04-04 00:00:00,
肉禽蛋,护心肉,17.5,斤,,2025-04-04 00:00:00,鲜
肉禽蛋,前肘,9.0,斤,,2025-04-04 00:00:00,
肉禽蛋,后肘,7.65,斤,,2025-04-04 00:00:00,
肉禽蛋,月牙骨,19.5,斤,,2025-04-04 00:00:00,
肉禽蛋,猪尾巴,45.0,斤,,2025-04-04 00:00:00,
肉禽蛋,猪蹄,17.5,斤,,2025-04-04 00:00:00,
肉禽蛋,纯排骨,18.5,斤,,2025-04-04 00:00:00,
肉禽蛋,纯腔骨,6.0,斤,,2025-04-04 00:00:00,
肉禽蛋,腔排骨,12.0,斤,,2025-04-04 00:00:00,
肉禽蛋,梅花骨,8.5,斤,,2025-04-04 00:00:00,
肉禽蛋,棒骨,7.75,斤,,2025-04-04 00:00:00,
肉禽蛋,猪头,8.5,斤,,2025-04-04 00:00:00,
肉禽蛋,猪口条,13.0,斤,,2025-04-04 00:00:00,
肉禽蛋,猪耳,23.0,斤,,2025-04-04 00:00:00,
肉禽蛋,猪脑,19.0,斤,,2025-04-04 00:00:00,
肉禽蛋,猪肚,21.0,斤,,2025-04-04 00:00:00,
肉禽蛋,猪板油,6.0,斤,,2025-04-04 00:00:00,
肉禽蛋,肥膘肉,3.5,斤,,2025-04-04 00:00:00,
肉禽蛋,猪腰子,15.0,斤,,2025-04-04 00:00:00,
肉禽蛋,猪心,7.0,斤,,2025-04-04 00:00:00,
肉禽蛋,猪肝,4.0,斤,,2025-04-04 00:00:00,
肉禽蛋,猪肺,2.5,个,,2025-04-04 00:00:00,
肉禽蛋,猪皮,3.5,斤,,2025-04-04 00:00:00,
肉禽蛋,猪肠头,20.0,斤,,2025-04-04 00:00:00,
肉禽蛋,猪肠,16.0,斤,,2025-04-04 00:00:00,
肉禽蛋,整牛,28.75,斤,,2025-04-04 00:00:00,
肉禽蛋,牛前腱,31.5,斤,,2025-04-04 00:00:00,
肉禽蛋,牛后腱,31.5,斤,,2025-04-04 00:00:00,
肉禽蛋,牛前腿,28.5,斤,,2025-04-04 00:00:00,
肉禽蛋,牛后腿,28.5,斤,,2025-04-04 00:00:00,
肉禽蛋,牛腰窝,31.5,斤,,2025-04-04 00:00:00,
肉禽蛋,肥牛,31.5,斤,,2025-04-04 00:00:00,
肉禽蛋,牛柳,32.0,斤,,2025-04-04 00:00:00,里脊
肉禽蛋,精牛柳,33.0,斤,,2025-04-04 00:00:00,
肉禽蛋,牛腩,28.5,斤,,2025-04-04 00:00:00,
肉禽蛋,牛林,28.0,斤,,2025-04-04 00:00:00,
肉禽蛋,牛金钱腱,45.0,斤,,2025-04-04 00:00:00,
肉禽蛋,牛筋头巴脑,24.5,斤,,2025-04-04 00:00:00,
肉禽蛋,牛宝,18.0,斤,,2025-04-04 00:00:00,
肉禽蛋,牛鞭,50.5,斤,,2025-04-04 00:00:00,
