155,模仿游戏,2014,8.8分
156,大鱼,2003,8.8分
157,七武士,1954,9.3分
158,惊魂记,1960,9.0分
159,射雕英雄传之东成西就,1993,8.7分
160,我是山姆,2001,9.0分
161,血战钢锯岭,2016,8.7分
162,你的名字。,2016,8.5分
163,阳光姐妹淘,2011,8.8分
164,恐怖直播,2013,8.7分
165,黑客帝国3：矩阵革命,2003,8.8分
166,背靠背，脸对脸,1994,9.5分
167,电锯惊魂,2004,8.7分
168,三块广告牌,2017,8.7分
169,心灵奇旅,2020,8.7分
170,小丑,2019,8.7分
171,达拉斯买家俱乐部,2013,8.8分
172,谍影重重3,2007,8.9分
173,疯狂原始人,2013,8.7分
174,绿里奇迹,1999,8.9分
175,无间道2,2003,8.8分
176,爱在午夜降临前,2013,8.9分
177,海街日记,2015,8.8分
178,上帝之城,2002,9.0分
179,英雄本色,1986,8.6分
180,风之谷,1984,8.9分
181,疯狂的石头,2006,8.6分
182,心迷宫,2014,8.7分
183,雨中曲,1952,9.1分
184,2001太空漫游,1968,8.9分
185,纵横四海,1991,8.8分
186,记忆碎片,2000,8.7分
187,卢旺达饭店,2004,8.9分
188,末路狂花,1991,9.0分
189,无敌破坏王,2012,8.7分
190,小偷家族,2018,8.7分
191,冰川时代,2002,8.6分
192,牯岭街少年杀人事件,1991,8.9分
193,高山下的花环,1984(中国大陆) / 1985,9.5分
194,恐怖游轮,2009,8.5分
195,岁月神偷,2010,8.7分
196,东京教父,2003,9.0分
197,忠犬八公物语,1987,9.2分
198,魔女宅急便,1989,8.7分
199,荒蛮故事,2014,8.8分
200,遗愿清单,2007,8.7分
201,大佛普拉斯,2017,8.7分
202,贫民窟的百万富翁,2008,8.6分
203,东邪西毒,1994,8.6分
204,源代码,2011,8.6分
205,你看起来好像很好吃,2010,8.9分
206,疯狂的麦克斯4：狂暴之路,2015,8.7分
207,可可西里,2004,8.9分
208,芙蓉镇,1987,9.3分
209,爆裂鼓手,2014,8.6分
210,城市之光,1931,9.3分
211,波西米亚狂想曲,2018,8.6分
212,花束般的恋爱,2021,8.6分
213,黑天鹅,2010,8.6分
214,青蛇,1993,8.6分
215,爱乐之城,2016,8.4分
216,白日梦想家,2013,8.6分
217,哈利·波特与死亡圣器(上),2010,8.6分
218,终结者2：审判日,1991,8.8分
219,初恋这件小事,2010,8.5分
220,雨人,1988,8.7分
221,新龙门客栈,1992,8.7分
222,人工智能,2001,8.7分
223,无耻混蛋,2009,8.7分
224,虎口脱险,1966,8.9分
225,真爱至上,2003,8.5分
226,崖上的波妞,2008,8.6分
227,恋恋笔记本,2004,8.5分
228,罗生门,1950,8.8分
229,千钧一发,1997,8.8分
230,大红灯笼高高挂,1991,8.8分
231,彗星来的那一夜,2013,8.6分
232,哈利·波特与凤凰社,2007,8.5分
233,海边的曼彻斯特,2016,8.6分
234,黑客帝国2：重装上阵,2003,8.7分
235,火星救援,2015,8.5分
236,萤火虫之墓,1988,8.7分
237,奇迹男孩,2017,8.6分
238,战争之王,2005,8.7分
239,千年女优,2001,8.8分
240,步履不停,2008,8.8分
241,机器人之梦,2023,9.1分
242,血钻,2006,8.7分
243,谍影重重2,2004,8.7分
244,蜘蛛侠：平行宇宙,2018,8.6分
245,魂断蓝桥,1940,8.8分
246,房间,2015,8.8分
247,冰雪奇缘,2013,8.5分
248,隐藏人物,2016,8.9分
249,谍影重重,2002,8.6分
250,弱点,2009,8.7分
